,TOT_REG_CD,ADM_NM,ADM_CD,211009_9시_총생활인구수,211009_13시_총생활인구수,211009_15시_총생활인구수,211012_9시_총생활인구수,211012_13시_총생활인구수,211012_15시_총생활인구수
180,1117055011401 ,구로4동,1117055,253.0775,29.6945,29.6945,102.1991,83.6165,76.4
181,1117055011601 ,구로4동,1117055,229.9148,254.3499,254.3499,331.6575,392.271,394.9459
182,1117055011801 ,구로4동,1117055,170.9269,83.2948,83.2948,128.9551,123.1151,116.5201
183,1117055020006 ,구로4동,1117055,945.9089,1520.8354,1520.8354,1042.1709,1156.944,1318.1101
184,1117055020007 ,구로4동,1117055,354.4454,302.2572,302.2572,365.9885,310.7948,330.2949
185,1117055020004 ,구로4동,1117055,402.3632,451.9796,451.9796,367.5459,355.7572,336.4273
186,1117055020005 ,구로4동,1117055,302.0916,250.8016,250.8016,223.6834,232.5626,254.2966
187,1117055020002 ,구로4동,1117055,79.6016,36.2668,36.2668,58.9687,52.8645,55.6959
188,1117055020003 ,구로4동,1117055,416.1921,827.5493,827.5493,747.0468,912.1446,990.7779
189,1117055020001 ,구로4동,1117055,116.9566,223.0851,223.0851,142.8756,175.6478,168.0369
190,1117055020010 ,구로4동,1117055,448.1918,922.7346,922.7346,493.8485,517.0579,580.9084
191,1117055020016 ,구로4동,1117055,719.2505,1046.2977,1046.2977,611.6212,721.1369,845.5765
192,1117055020008 ,구로4동,1117055,199.9726,90.4184,90.4184,248.8565,189.5742,207.3898
193,1117055020009 ,구로4동,1117055,368.0849,227.0462,227.0462,279.8649,242.3814,237.5813
194,1117055020012 ,구로4동,1117055,,,,,,
195,1117055020013 ,구로4동,1117055,837.6143,1094.1831,1094.1831,996.7701,1142.0792,1221.9381
196,1117055020014 ,구로4동,1117055,333.3224,370.2951,370.2951,286.4867,304.2904,337.2706
197,1117055020011 ,구로4동,1117055,313.7791,378.009,378.009,327.9504,392.7348,410.2893
198,1117055020102 ,구로4동,1117055,62.6178,17.8227,17.8227,58.2512,39.1372,42.2515
199,1117055020101 ,구로4동,1117055,694.223,356.2532,356.2532,529.9043,502.0729,523.2717
200,1117055020104 ,구로4동,1117055,,,,,,
